https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1602288000,2020-10-10 00:00:00,BCH/USD,237.51,246.33,236.28,237.59,4575.31417462,1087048.8947479657
1602201600,2020-10-09 00:00:00,BCH/USD,234.37,240.09,232.19,237.24,5354.28994850,1270251.74738214
1602115200,2020-10-08 00:00:00,BCH/USD,223.47,236.11,221.47,234.08,8430.90771222,1973506.8772764576
1602028800,2020-10-07 00:00:00,BCH/USD,219.36,224.49,216.50,223.15,4414.83009661,985169.3360585214
1601942400,2020-10-06 00:00:00,BCH/USD,222.28,229.89,215.38,219.62,7251.06887905,1592479.747216961
1601856000,2020-10-05 00:00:00,BCH/USD,221.24,222.55,218.46,221.78,4619.66645702,1024549.6268378956
1601769600,2020-10-04 00:00:00,BCH/USD,218.30,222.88,216.88,220.99,3535.19468511,781242.673462459
1601683200,2020-10-03 00:00:00,BCH/USD,219.06,221.45,217.85,218.71,3569.33239219,780648.6874958749
1601596800,2020-10-02 00:00:00,BCH/USD,226.61,228.18,212.57,219.72,8087.26081869,1776932.9470825668
1601510400,2020-10-01 00:00:00,BCH/USD,228.42,233.71,221.65,228.24,6501.22670404,1483839.9829300898
1601424000,2020-09-30 00:00:00,BCH/USD,228.50,231.27,225.03,228.07,4138.05918477,943767.1582704938
1601337600,2020-09-29 00:00:00,BCH/USD,225.00,230.03,224.44,228.73,5099.77746054,1166472.098549314
1601251200,2020-09-28 00:00:00,BCH/USD,230.00,234.15,223.40,225.54,12616.52293439,2845530.5826223204
1601164800,2020-09-27 00:00:00,BCH/USD,222.36,231.67,216.11,228.33,7104.20459707,1622103.0356489932
1601078400,2020-09-26 00:00:00,BCH/USD,216.81,224.30,212.81,221.47,2450.02575188,542607.2032688636
1600992000,2020-09-25 00:00:00,BCH/USD,216.88,218.10,211.03,216.29,7483.29727495,1618562.3675989355
1600905600,2020-09-24 00:00:00,BCH/USD,207.29,219.06,206.70,216.26,6359.88086906,1375387.8367429154
1600819200,2020-09-23 00:00:00,BCH/USD,219.85,219.85,203.00,207.80,7926.01903612,1647026.755705736
1600732800,2020-09-22 00:00:00,BCH/USD,211.41,220.12,210.49,220.11,3733.63200811,821809.7413050921
1600646400,2020-09-21 00:00:00,BCH/USD,225.62,228.93,207.55,212.64,11992.84977628,2550159.576428179
1600560000,2020-09-20 00:00:00,BCH/USD,233.29,233.29,222.17,225.97,4679.71426593,1057475.032672202
1600473600,2020-09-19 00:00:00,BCH/USD,233.70,237.48,232.10,233.40,5391.90021715,1258469.5106828099
1600387200,2020-09-18 00:00:00,BCH/USD,232.79,238.81,230.31,232.83,5421.27626006,1262235.7516297698
1600300800,2020-09-17 00:00:00,BCH/USD,229.82,239.36,229.72,232.62,4340.96265944,1009794.7338389327
1600214400,2020-09-16 00:00:00,BCH/USD,235.32,235.51,227.08,230.83,6545.19733122,1510827.8999655126
1600128000,2020-09-15 00:00:00,BCH/USD,225.92,241.58,225.09,234.97,11664.83084068,2740885.3026345796
1600041600,2020-09-14 00:00:00,BCH/USD,222.10,229.00,219.05,225.55,6696.78912907,1510460.7880617385
1599955200,2020-09-13 00:00:00,BCH/USD,230.38,234.55,219.26,221.98,4414.41784094,979912.4723318612
1599868800,2020-09-12 00:00:00,BCH/USD,225.19,229.45,222.58,228.96,2209.32896220,505847.95918531204
1599782400,2020-09-11 00:00:00,BCH/USD,227.81,228.28,220.72,225.29,4067.67027672,916405.4366422488
1599696000,2020-09-10 00:00:00,BCH/USD,225.52,230.19,224.37,227.50,4865.28163223,1106851.571332325
1599609600,2020-09-09 00:00:00,BCH/USD,222.79,228.27,218.78,224.19,4414.43121886,989671.3349562234
1599523200,2020-09-08 00:00:00,BCH/USD,228.79,230.70,215.56,222.19,5985.74348510,1329972.344954369
1599436800,2020-09-07 00:00:00,BCH/USD,228.34,229.78,215.67,228.07,8894.35402340,2028535.3221168378
1599350400,2020-09-06 00:00:00,BCH/USD,224.96,232.74,219.78,227.97,10386.50146211,2367810.7383172167
1599264000,2020-09-05 00:00:00,BCH/USD,230.59,235.05,213.91,225.19,20138.39080272,4534964.224864517
1599177600,2020-09-04 00:00:00,BCH/USD,216.33,240.38,212.34,230.89,28400.23540964,6557330.353731779
1599091200,2020-09-03 00:00:00,BCH/USD,264.13,266.44,201.51,218.72,26053.70278135,5698465.872336872
1599004800,2020-09-02 00:00:00,BCH/USD,292.26,294.97,245.63,263.80,18699.55866869,4932943.576800422
1598918400,2020-09-01 00:00:00,BCH/USD,273.66,296.87,268.45,291.37,9073.44700506,2643730.253864332
1598832000,2020-08-31 00:00:00,BCH/USD,279.49,281.50,273.16,274.00,2149.65159607,589004.53732318
1598745600,2020-08-30 00:00:00,BCH/USD,268.00,279.31,268.00,279.31,2648.75426326,739823.5532711506
1598659200,2020-08-29 00:00:00,BCH/USD,268.61,273.02,265.94,268.44,2373.01147235,637011.199637634
1598572800,2020-08-28 00:00:00,BCH/USD,263.24,272.22,261.38,268.33,3962.88062738,1063359.7587448754
1598486400,2020-08-27 00:00:00,BCH/USD,275.91,277.25,258.36,264.79,7336.07389284,1942519.0060851036
1598400000,2020-08-26 00:00:00,BCH/USD,275.42,278.99,271.48,274.88,2016.07693479,554179.2278350752
1598313600,2020-08-25 00:00:00,BCH/USD,291.53,291.53,268.37,275.83,8486.87797505,2340935.5518580414
1598227200,2020-08-24 00:00:00,BCH/USD,284.14,294.43,282.20,291.59,5766.26976198,1681386.599895748
1598140800,2020-08-23 00:00:00,BCH/USD,287.53,288.32,278.95,284.66,7878.88482535,2242803.3543841313
1598054400,2020-08-22 00:00:00,BCH/USD,282.96,288.44,275.15,287.57,3233.00363582,929714.8555527574
1597968000,2020-08-21 00:00:00,BCH/USD,294.58,305.46,281.29,282.38,7920.04938977,2236463.5466832523
1597881600,2020-08-20 00:00:00,BCH/USD,292.70,296.57,288.31,294.70,3230.02456367,951888.238913549
1597795200,2020-08-19 00:00:00,BCH/USD,304.33,308.66,281.42,292.37,10337.11255364,3022261.5973077267
1597708800,2020-08-18 00:00:00,BCH/USD,318.22,324.37,300.77,303.91,7318.62460002,2224203.2021920783
1597622400,2020-08-17 00:00:00,BCH/USD,307.43,325.59,301.62,317.39,9358.90155524,2970421.7646176233
1597536000,2020-08-16 00:00:00,BCH/USD,303.02,313.96,294.73,308.50,4762.66569037,1469282.3654791452
1597449600,2020-08-15 00:00:00,BCH/USD,294.80,308.79,290.84,302.62,6323.92241729,1913745.4019203
1597363200,2020-08-14 00:00:00,BCH/USD,296.51,298.42,287.69,292.90,5155.30036418,1509987.4766683218
1597276800,2020-08-13 00:00:00,BCH/USD,284.64,297.43,274.50,296.12,8964.97124916,2654707.2863012594
1597190400,2020-08-12 00:00:00,BCH/USD,281.54,290.38,271.00,285.43,6194.94637211,1768223.5429913574
1597104000,2020-08-11 00:00:00,BCH/USD,302.03,306.26,270.11,281.87,12574.75295395,3544445.615129886
1597017600,2020-08-10 00:00:00,BCH/USD,300.31,309.62,284.40,301.70,8331.98406985,2513759.593873745
1596931200,2020-08-09 00:00:00,BCH/USD,305.89,309.10,291.11,300.20,6219.39075691,1867061.105224382
1596844800,2020-08-08 00:00:00,BCH/USD,302.18,309.53,297.84,305.39,3037.25369073,927546.9046120347
1596758400,2020-08-07 00:00:00,BCH/USD,308.69,326.30,277.20,302.78,17487.52311351,5294872.248308557
1596672000,2020-08-06 00:00:00,BCH/USD,293.60,319.91,287.91,309.23,11928.81910863,3688748.732961655
1596585600,2020-08-05 00:00:00,BCH/USD,288.59,298.65,284.05,294.03,9032.46034299,2655814.3146493495
1596499200,2020-08-04 00:00:00,BCH/USD,298.00,302.84,281.68,288.47,6710.73510480,1935845.7556816563
1596412800,2020-08-03 00:00:00,BCH/USD,282.08,304.79,279.74,297.28,8303.62893770,2468502.8105994556
1596326400,2020-08-02 00:00:00,BCH/USD,319.88,337.90,245.00,283.78,28497.38095558,8086986.767574492
1596240000,2020-08-01 00:00:00,BCH/USD,302.83,321.85,298.70,319.97,10023.23152677,3207133.391620597
1596153600,2020-07-31 00:00:00,BCH/USD,292.33,306.67,287.43,301.45,7598.06198467,2290435.7852787715
1596067200,2020-07-30 00:00:00,BCH/USD,287.73,300.38,280.59,292.16,9387.04053194,2742517.7618115908
1595980800,2020-07-29 00:00:00,BCH/USD,291.79,296.39,285.58,288.40,8623.69503300,2487073.6475171996
1595894400,2020-07-28 00:00:00,BCH/USD,269.75,298.64,265.07,289.75,26461.13556071,7667114.028715723
1595808000,2020-07-27 00:00:00,BCH/USD,247.97,275.78,247.63,269.03,29197.31763975,7854954.364621942
1595721600,2020-07-26 00:00:00,BCH/USD,250.93,257.95,244.27,247.81,13064.33207334,3237472.1310943854
1595635200,2020-07-25 00:00:00,BCH/USD,235.29,253.74,235.29,250.54,10551.62031889,2643602.9546947004
1595548800,2020-07-24 00:00:00,BCH/USD,238.50,239.25,232.64,235.79,3025.95672153,713490.3353695587
1595462400,2020-07-23 00:00:00,BCH/USD,240.39,243.26,235.03,238.41,5656.45051708,1348554.3677770428
1595376000,2020-07-22 00:00:00,BCH/USD,230.28,240.26,227.76,240.26,4161.33372628,999802.0410760327
1595289600,2020-07-21 00:00:00,BCH/USD,222.73,232.85,222.44,230.50,3134.16074728,722424.05224804
1595203200,2020-07-20 00:00:00,BCH/USD,227.67,227.83,220.82,222.83,1570.24520259,349897.7384931297
1595116800,2020-07-19 00:00:00,BCH/USD,224.32,228.84,220.49,227.93,1717.53530856,391477.8228800808
1595030400,2020-07-18 00:00:00,BCH/USD,222.85,226.50,222.33,224.75,2690.23418292,604630.13261127
1594944000,2020-07-17 00:00:00,BCH/USD,223.99,225.43,221.85,222.82,3384.52966680,754140.900356376
1594857600,2020-07-16 00:00:00,BCH/USD,227.12,228.02,216.74,224.11,6912.73770826,1549213.6477981487
1594771200,2020-07-15 00:00:00,BCH/USD,230.27,230.67,225.74,227.50,3506.41022115,797708.325311625
1594684800,2020-07-14 00:00:00,BCH/USD,231.00,231.65,226.34,231.06,3538.46983001,817598.8389221106
1594598400,2020-07-13 00:00:00,BCH/USD,238.04,238.17,224.12,232.23,5698.63870313,1323394.8660278798
1594512000,2020-07-12 00:00:00,BCH/USD,237.06,239.62,232.10,236.93,3253.55604682,770865.0341730627
1594425600,2020-07-11 00:00:00,BCH/USD,238.25,239.31,234.73,236.56,1365.56757206,323038.6648465136
1594339200,2020-07-10 00:00:00,BCH/USD,237.60,239.20,232.88,238.21,3093.84118854,736983.9095221134
1594252800,2020-07-09 00:00:00,BCH/USD,243.30,245.40,232.20,238.56,8445.94502421,2014864.6449755374
1594166400,2020-07-08 00:00:00,BCH/USD,237.90,246.00,235.84,243.27,8522.79124352,2073339.4258111103
1594080000,2020-07-07 00:00:00,BCH/USD,242.46,244.31,235.10,237.64,5024.70723327,1194071.4269142826
1593993600,2020-07-06 00:00:00,BCH/USD,222.70,243.52,222.12,242.17,8966.56826536,2171433.836822231
