https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1742342400,2025-03-19 00:00:00,BAT/USD,0.15674,0.15807,0.15674,0.15760,4349.34138340,685.45620202384
1742256000,2025-03-18 00:00:00,BAT/USD,0.15311,0.15311,0.15311,0.15311,0.00000000,0.0
1742169600,2025-03-17 00:00:00,BAT/USD,0.15311,0.15311,0.15311,0.15311,269.51172359,41.2649399988649
1742083200,2025-03-16 00:00:00,BAT/USD,0.15029,0.15029,0.14442,0.14442,16871.64856416,2436.6034856359875
1741996800,2025-03-15 00:00:00,BAT/USD,0.14825,0.14825,0.14825,0.14825,0.00000000,0.0
1741910400,2025-03-14 00:00:00,BAT/USD,0.14825,0.14825,0.14825,0.14825,1547.00000000,229.34275
1741824000,2025-03-13 00:00:00,BAT/USD,0.14905,0.14905,0.14905,0.14905,0.00000000,0.0
1741737600,2025-03-12 00:00:00,BAT/USD,0.14915,0.14915,0.14905,0.14905,2357.99185870,351.458686539235
1741651200,2025-03-11 00:00:00,BAT/USD,0.14279,0.14279,0.14231,0.14231,3604.64673776,512.9772772506255
1741564800,2025-03-10 00:00:00,BAT/USD,0.14711,0.16573,0.14507,0.14508,50846.98539394,7376.880640952814
1741478400,2025-03-09 00:00:00,BAT/USD,0.15642,0.15642,0.14700,0.14700,8501.10053655,1249.66177887285
1741392000,2025-03-08 00:00:00,BAT/USD,0.14808,0.14808,0.14808,0.14808,0.00000000,0.0
1741305600,2025-03-07 00:00:00,BAT/USD,0.15976,0.16206,0.14808,0.14808,12166.25825640,1801.5795226077119
1741219200,2025-03-06 00:00:00,BAT/USD,0.16214,0.16329,0.16051,0.16051,5271.04620172,846.0556258380773
1741132800,2025-03-05 00:00:00,BAT/USD,0.16095,0.16200,0.15396,0.15751,13471.33127060,2121.869388432206
1741046400,2025-03-04 00:00:00,BAT/USD,0.15398,0.15518,0.14549,0.15518,3659.48262148,567.8785132012664
1740960000,2025-03-03 00:00:00,BAT/USD,0.17114,0.17227,0.16971,0.16971,8602.32976187,1459.9013838869578
1740873600,2025-03-02 00:00:00,BAT/USD,0.16553,0.17910,0.16425,0.17448,45380.16422779,7917.9310544648
1740787200,2025-03-01 00:00:00,BAT/USD,0.16677,0.16677,0.16226,0.16599,5359.17908039,889.5701355539361
1740700800,2025-02-28 00:00:00,BAT/USD,0.15972,0.16647,0.15713,0.16647,1741.55586975,289.9168056372825
1740614400,2025-02-27 00:00:00,BAT/USD,0.16775,0.17123,0.16673,0.16673,6322.30224409,1054.1174531571257
1740528000,2025-02-26 00:00:00,BAT/USD,0.16574,0.17097,0.15782,0.16603,46104.19969949,7654.6802761063245
1740441600,2025-02-25 00:00:00,BAT/USD,0.16442,0.16822,0.16000,0.16822,35226.54099851,5925.808726769352
1740355200,2025-02-24 00:00:00,BAT/USD,0.17306,0.17653,0.16126,0.16126,14236.97096298,2295.8539374901547
1740268800,2025-02-23 00:00:00,BAT/USD,0.18664,0.18664,0.18339,0.18339,2664.27338587,488.60109623469924
1740182400,2025-02-22 00:00:00,BAT/USD,0.18391,0.18391,0.18391,0.18391,140.72069590,25.879943182969
1740096000,2025-02-21 00:00:00,BAT/USD,0.18944,0.18983,0.17793,0.17793,11355.87093109,2020.5501147688437
1740009600,2025-02-20 00:00:00,BAT/USD,0.17466,0.18700,0.17466,0.18700,805.49737418,150.62800897166
1739923200,2025-02-19 00:00:00,BAT/USD,0.17749,0.17750,0.17749,0.17750,5479.15182729,972.549449343975
1739836800,2025-02-18 00:00:00,BAT/USD,0.18661,0.18661,0.18000,0.18000,1979.34623668,356.2823226024
1739750400,2025-02-17 00:00:00,BAT/USD,0.18588,0.18588,0.18588,0.18588,0.00000000,0.0
1739664000,2025-02-16 00:00:00,BAT/USD,0.18634,0.18634,0.18588,0.18588,112.42191692,20.896985917089598
1739577600,2025-02-15 00:00:00,BAT/USD,0.18692,0.18692,0.18691,0.18691,5487.72179145,1025.7100800399194
1739491200,2025-02-14 00:00:00,BAT/USD,0.19084,0.19912,0.18500,0.19912,8251.06917615,1642.952894354988
1739404800,2025-02-13 00:00:00,BAT/USD,0.18900,0.18900,0.18626,0.18626,353.90379234,65.9181203612484
1739318400,2025-02-12 00:00:00,BAT/USD,0.18589,0.18913,0.18589,0.18913,5260.06123365,994.8353811202244
1739232000,2025-02-11 00:00:00,BAT/USD,0.18899,0.18900,0.18899,0.18900,76.45649625,14.45027779125
1739145600,2025-02-10 00:00:00,BAT/USD,0.18151,0.18472,0.18150,0.18472,3049.18521412,563.2454927522464
1739059200,2025-02-09 00:00:00,BAT/USD,0.17442,0.17448,0.17442,0.17448,124.00000000,21.63552
1738972800,2025-02-08 00:00:00,BAT/USD,0.17282,0.17610,0.16967,0.17610,5347.87614971,941.7609899639311
1738886400,2025-02-07 00:00:00,BAT/USD,0.17597,0.18117,0.17346,0.17346,688.58912601,119.44266979769459
1738800000,2025-02-06 00:00:00,BAT/USD,0.16398,0.16398,0.16398,0.16398,4.24421591,0.6959665249218
1738713600,2025-02-05 00:00:00,BAT/USD,0.17870,0.17870,0.17870,0.17870,10000.00000000,1787.0
1738627200,2025-02-04 00:00:00,BAT/USD,0.18086,0.19155,0.17663,0.18582,586.75641250,109.03107657075
1738540800,2025-02-03 00:00:00,BAT/USD,0.17000,0.18409,0.14288,0.18409,26967.90727685,4964.522050595317
1738454400,2025-02-02 00:00:00,BAT/USD,0.20572,0.20723,0.18000,0.18000,13390.99347789,2410.3788260202
1738368000,2025-02-01 00:00:00,BAT/USD,0.21955,0.21955,0.21304,0.21304,10248.68653766,2183.3801799830862
1738281600,2025-01-31 00:00:00,BAT/USD,0.22270,0.22572,0.22090,0.22092,6660.28108727,1471.3892977996884
1738195200,2025-01-30 00:00:00,BAT/USD,0.21457,0.22611,0.21457,0.22435,8202.84910889,1840.3091975794712
1738108800,2025-01-29 00:00:00,BAT/USD,0.20762,0.21333,0.20761,0.20864,7980.68503935,1665.0901266099838
1738022400,2025-01-28 00:00:00,BAT/USD,0.22236,0.22237,0.20973,0.20973,34709.98958229,7279.726115093682
1737936000,2025-01-27 00:00:00,BAT/USD,0.21552,0.22696,0.21000,0.22694,16330.19312675,3705.9740281846452
1737849600,2025-01-26 00:00:00,BAT/USD,0.23384,0.24635,0.23000,0.23000,2852.12686752,655.9891795296
1737763200,2025-01-25 00:00:00,BAT/USD,0.23250,0.23250,0.23250,0.23250,0.00000000,0.0
1737676800,2025-01-24 00:00:00,BAT/USD,0.22450,0.23250,0.22450,0.23250,2752.88142747,640.044931886775
1737590400,2025-01-23 00:00:00,BAT/USD,0.22265,0.22852,0.22265,0.22333,4511.51870469,1007.5574723184177
1737504000,2025-01-22 00:00:00,BAT/USD,0.23239,0.23587,0.23238,0.23587,3395.70012984,800.9437896253608
1737417600,2025-01-21 00:00:00,BAT/USD,0.23559,0.24684,0.23559,0.24684,4454.22509964,1099.4809235951375
1737331200,2025-01-20 00:00:00,BAT/USD,0.22550,0.24669,0.22480,0.23195,39248.42690676,9103.672621022983
1737244800,2025-01-19 00:00:00,BAT/USD,0.24608,0.25520,0.21833,0.25520,24972.82029712,6373.063739825024
1737158400,2025-01-18 00:00:00,BAT/USD,0.26801,0.27310,0.24217,0.24856,17963.52370542,4465.013452219196
1737072000,2025-01-17 00:00:00,BAT/USD,0.25988,0.26010,0.25748,0.25748,31333.76326611,8067.817365758002
1736985600,2025-01-16 00:00:00,BAT/USD,0.25819,0.26000,0.25064,0.26000,24193.30927582,6290.2604117132005
1736899200,2025-01-15 00:00:00,BAT/USD,0.24966,0.25768,0.24500,0.25580,8301.87814903,2123.6204305218744
1736812800,2025-01-14 00:00:00,BAT/USD,0.24134,0.24217,0.24134,0.24217,822.33952409,199.1459625488753
1736726400,2025-01-13 00:00:00,BAT/USD,0.23992,0.24122,0.22683,0.23708,7615.86746614,1805.5698588724713
1736640000,2025-01-12 00:00:00,BAT/USD,0.24901,0.25310,0.24009,0.24799,17675.65615304,4383.38596939239
1736553600,2025-01-11 00:00:00,BAT/USD,0.24874,0.25522,0.24727,0.25444,1026.33801758,261.14144519305523
1736467200,2025-01-10 00:00:00,BAT/USD,0.24794,0.25313,0.24794,0.25286,957.02479169,241.9932888267334
1736380800,2025-01-09 00:00:00,BAT/USD,0.24405,0.24405,0.24405,0.24405,0.00000000,0.0
1736294400,2025-01-08 00:00:00,BAT/USD,0.24989,0.25239,0.23921,0.24405,30944.36502455,7551.972284241427
1736208000,2025-01-07 00:00:00,BAT/USD,0.28222,0.28222,0.25442,0.25442,44186.02932541,11241.809580970812
1736121600,2025-01-06 00:00:00,BAT/USD,0.26865,0.29000,0.26788,0.28346,39552.70262339,11211.60908562613
1736035200,2025-01-05 00:00:00,BAT/USD,0.25212,0.27336,0.25212,0.26786,56922.47074698,15247.253014286061
1735948800,2025-01-04 00:00:00,BAT/USD,0.26076,0.26076,0.25503,0.25726,21772.61972733,5601.224151052915
1735862400,2025-01-03 00:00:00,BAT/USD,0.25999,0.26013,0.25470,0.25939,42446.57768076,11010.217784612336
1735776000,2025-01-02 00:00:00,BAT/USD,0.24434,0.24849,0.24344,0.24645,946.14548693,233.17755525389848
1735689600,2025-01-01 00:00:00,BAT/USD,0.23209,0.24370,0.23209,0.24370,5896.13251027,1436.887492752799
1735603200,2024-12-31 00:00:00,BAT/USD,0.23569,0.23569,0.22877,0.23378,4429.10859940,1035.4370083677318
1735516800,2024-12-30 00:00:00,BAT/USD,0.24122,0.24332,0.22840,0.24332,11348.93498006,2761.422859348199
1735430400,2024-12-29 00:00:00,BAT/USD,0.25697,0.25911,0.23835,0.23835,51074.21963773,12173.540250652946
1735344000,2024-12-28 00:00:00,BAT/USD,0.24322,0.25000,0.24308,0.25000,21005.90874478,5251.477186195
1735257600,2024-12-27 00:00:00,BAT/USD,0.24471,0.25519,0.23700,0.23880,63311.50063281,15118.786351115028
1735171200,2024-12-26 00:00:00,BAT/USD,0.25893,0.25893,0.24429,0.24900,116889.34493341,29105.44688841909
1735084800,2024-12-25 00:00:00,BAT/USD,0.27910,0.29607,0.25789,0.25790,129993.67193760,33525.36799270704
1734998400,2024-12-24 00:00:00,BAT/USD,0.22607,0.30569,0.22607,0.27993,176536.97623571,49417.9957576623
1734912000,2024-12-23 00:00:00,BAT/USD,0.21076,0.22156,0.20893,0.22047,9105.15601518,2007.4137466667346
1734825600,2024-12-22 00:00:00,BAT/USD,0.20958,0.21677,0.20311,0.21378,14623.04674671,3126.114933511664
1734739200,2024-12-21 00:00:00,BAT/USD,0.22578,0.23911,0.20850,0.20850,43394.09303956,9047.66839874826
1734652800,2024-12-20 00:00:00,BAT/USD,0.23265,0.23806,0.19120,0.21513,86762.99653427,18665.323444417503
1734566400,2024-12-19 00:00:00,BAT/USD,0.24094,0.24404,0.21688,0.22389,35895.78011193,8036.706209260007
1734480000,2024-12-18 00:00:00,BAT/USD,0.26071,0.26071,0.24004,0.24004,15605.76648902,3746.0081880243606
1734393600,2024-12-17 00:00:00,BAT/USD,0.26981,0.27578,0.26474,0.27103,23471.55665420,6361.4959999878265
1734307200,2024-12-16 00:00:00,BAT/USD,0.27125,0.28200,0.27125,0.27644,44933.51656642,12421.421319621146
1734220800,2024-12-15 00:00:00,BAT/USD,0.27986,0.28962,0.27562,0.28962,21809.85696715,6316.570774825983
1734134400,2024-12-14 00:00:00,BAT/USD,0.29646,0.29646,0.27233,0.27296,2243.03448640,612.258693407744
1734048000,2024-12-13 00:00:00,BAT/USD,0.29630,0.29700,0.28888,0.29304,17144.96303778,5024.159968591051
1733961600,2024-12-12 00:00:00,BAT/USD,0.28982,0.30569,0.28562,0.29702,22692.03522440,6739.9883023512875
1733875200,2024-12-11 00:00:00,BAT/USD,0.26031,0.29676,0.25988,0.29203,30116.52662774,8794.929271098912
1733788800,2024-12-10 00:00:00,BAT/USD,0.28114,0.28117,0.24000,0.25138,39416.24493990,9908.455652992063
1733702400,2024-12-09 00:00:00,BAT/USD,0.32305,0.32816,0.21103,0.23187,30519.01348755,7076.443657358219
1733616000,2024-12-08 00:00:00,BAT/USD,0.33494,0.33750,0.33030,0.33343,22527.33607998,7511.289669147731
1733529600,2024-12-07 00:00:00,BAT/USD,0.34487,0.37116,0.32029,0.34029,31665.65538917,10775.505872380658
1733443200,2024-12-06 00:00:00,BAT/USD,0.33832,0.34748,0.32481,0.34419,16296.02070479,5608.92736638167
1733356800,2024-12-05 00:00:00,BAT/USD,0.33516,0.35000,0.31673,0.31673,13718.14493267,4344.948044524569
1733270400,2024-12-04 00:00:00,BAT/USD,0.34974,0.37471,0.32507,0.36410,29237.81073089,10645.486887117047
1733184000,2024-12-03 00:00:00,BAT/USD,0.33153,0.39078,0.30606,0.34830,66953.93532629,23320.055674146806
1733097600,2024-12-02 00:00:00,BAT/USD,0.31869,0.33442,0.29615,0.33442,44441.68391921,14862.187936262208
1733011200,2024-12-01 00:00:00,BAT/USD,0.31426,0.32169,0.30631,0.32155,6809.99326084,2189.753333023102
1732924800,2024-11-30 00:00:00,BAT/USD,0.32546,0.32546,0.31083,0.32008,2735.31869878,875.5208091055023
1732838400,2024-11-29 00:00:00,BAT/USD,0.30012,0.33047,0.30012,0.33047,33617.68445276,11109.636181103595
1732752000,2024-11-28 00:00:00,BAT/USD,0.30635,0.30635,0.27766,0.30409,2768.49783691,841.872507225962
1732665600,2024-11-27 00:00:00,BAT/USD,0.28272,0.30113,0.25842,0.29912,30538.92921606,9134.804507107867
1732579200,2024-11-26 00:00:00,BAT/USD,0.26711,0.29030,0.26711,0.27840,28167.16727051,7841.739368109983
1732492800,2024-11-25 00:00:00,BAT/USD,0.29091,0.33245,0.26043,0.27036,68317.28107035,18470.260110179825
1732406400,2024-11-24 00:00:00,BAT/USD,0.25608,0.28600,0.24035,0.28600,19999.03251305,5719.7232987323
1732320000,2024-11-23 00:00:00,BAT/USD,0.24309,0.26812,0.23547,0.24936,50550.96585119,12605.388844652738
1732233600,2024-11-22 00:00:00,BAT/USD,0.21166,0.23115,0.21166,0.23115,7206.98709515,1665.8950670439224
1732147200,2024-11-21 00:00:00,BAT/USD,0.20245,0.20245,0.20245,0.20245,200.35125171,40.5611109086895
