https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USD
1744156800,2025-04-09 00:00:00,ZRX/USD,0.21515,0.24338,0.21182,0.24216,50280.92793669,12176.02950914885
1744070400,2025-04-08 00:00:00,ZRX/USD,0.21375,0.23131,0.20439,0.20439,24930.29742407,5095.503490505666
1743984000,2025-04-07 00:00:00,ZRX/USD,0.21803,0.21803,0.19766,0.21255,18756.57369038,3986.7097378902686
1743897600,2025-04-06 00:00:00,ZRX/USD,0.23023,0.23608,0.20895,0.20895,43439.68087328,9076.721318471855
1743811200,2025-04-05 00:00:00,ZRX/USD,0.22945,0.23737,0.22837,0.23299,11557.53295166,2692.7896024072634
1743724800,2025-04-04 00:00:00,ZRX/USD,0.23291,0.23413,0.22621,0.23337,11561.33038986,2698.067673081628
1743638400,2025-04-03 00:00:00,ZRX/USD,0.23536,0.23536,0.22259,0.23149,15304.85195564,3542.920179211104
1743552000,2025-04-02 00:00:00,ZRX/USD,0.24563,0.24862,0.23157,0.23157,11763.46207760,2724.064913309832
1743465600,2025-04-01 00:00:00,ZRX/USD,0.24101,0.25009,0.24100,0.24802,4353.36132976,1079.7206770070752
1743379200,2025-03-31 00:00:00,ZRX/USD,0.24131,0.24440,0.23500,0.24165,42329.34131548,10228.885328885743
1743292800,2025-03-30 00:00:00,ZRX/USD,0.25221,0.25221,0.24151,0.24696,2621.07149293,647.2998158939929
1743206400,2025-03-29 00:00:00,ZRX/USD,0.25643,0.25643,0.24002,0.24002,8293.39619098,1990.5809537590196
1743120000,2025-03-28 00:00:00,ZRX/USD,0.27653,0.27653,0.25356,0.25486,3004.48732764,765.7236403223303
1743033600,2025-03-27 00:00:00,ZRX/USD,0.28148,0.28148,0.27571,0.27572,4023.81910046,1109.4474023788312
1742947200,2025-03-26 00:00:00,ZRX/USD,0.28550,0.28550,0.27748,0.27748,672.75171619,186.6751462084012
1742860800,2025-03-25 00:00:00,ZRX/USD,0.28998,0.29000,0.28213,0.28470,12473.42657538,3551.184546010686
1742774400,2025-03-24 00:00:00,ZRX/USD,0.26047,0.33700,0.25822,0.29635,94703.74113876,28065.453686471526
1742688000,2025-03-23 00:00:00,ZRX/USD,0.26419,0.26419,0.26047,0.26047,206.13351590,53.69159688647299
1742601600,2025-03-22 00:00:00,ZRX/USD,0.26173,0.26639,0.26173,0.26548,2986.62336077,792.8887698172196
1742515200,2025-03-21 00:00:00,ZRX/USD,0.26100,0.26100,0.25729,0.25870,4790.02808291,1239.180265048817
1742428800,2025-03-20 00:00:00,ZRX/USD,0.26620,0.26949,0.26100,0.26100,21971.76870372,5734.631631670921
1742342400,2025-03-19 00:00:00,ZRX/USD,0.26196,0.26311,0.26196,0.26311,1027.32551532,270.2996163358452
1742256000,2025-03-18 00:00:00,ZRX/USD,0.25720,0.25720,0.25418,0.25518,26464.96392988,6753.329495626779
1742169600,2025-03-17 00:00:00,ZRX/USD,0.25024,0.26033,0.24908,0.26033,9595.76064251,2498.0643680646285
1742083200,2025-03-16 00:00:00,ZRX/USD,0.25246,0.25246,0.24055,0.24055,7131.61715275,1715.5105060940127
1741996800,2025-03-15 00:00:00,ZRX/USD,0.25755,0.25755,0.25755,0.25755,178.00000000,45.8439
1741910400,2025-03-14 00:00:00,ZRX/USD,0.25065,0.26363,0.25065,0.26363,7292.31499133,1922.4730011643278
1741824000,2025-03-13 00:00:00,ZRX/USD,0.24546,0.24790,0.23559,0.23559,23404.59469931,5513.8884652104425
1741737600,2025-03-12 00:00:00,ZRX/USD,0.24134,0.24501,0.23545,0.24501,16020.58763487,3925.2041764194987
1741651200,2025-03-11 00:00:00,ZRX/USD,0.22985,0.24386,0.22985,0.23968,11884.55840515,2848.4909585463524
1741564800,2025-03-10 00:00:00,ZRX/USD,0.24035,0.25438,0.23018,0.23660,16119.84920285,3813.95632139431
1741478400,2025-03-09 00:00:00,ZRX/USD,0.26000,0.26000,0.24106,0.24106,29854.99642234,7196.84543756928
1741392000,2025-03-08 00:00:00,ZRX/USD,0.27212,0.27212,0.26917,0.26917,2465.42540748,663.6185569313917
1741305600,2025-03-07 00:00:00,ZRX/USD,0.27290,0.27675,0.26000,0.27393,6050.55472731,1657.4284564520283
1741219200,2025-03-06 00:00:00,ZRX/USD,0.27951,0.27951,0.27720,0.27720,901.15003456,249.798789580032
1741132800,2025-03-05 00:00:00,ZRX/USD,0.27149,0.28201,0.27149,0.27783,3913.58965448,1087.3126137041784
1741046400,2025-03-04 00:00:00,ZRX/USD,0.27000,0.27658,0.24536,0.27550,116354.99495058,32055.801108884792
1740960000,2025-03-03 00:00:00,ZRX/USD,0.31196,0.31196,0.27141,0.27261,9090.38226242,2478.1291085583166
1740873600,2025-03-02 00:00:00,ZRX/USD,0.31500,0.32314,0.31489,0.32314,85987.32428578,27785.94396970695
1740787200,2025-03-01 00:00:00,ZRX/USD,0.29934,0.29934,0.29934,0.29934,47.00000000,14.06898
1740700800,2025-02-28 00:00:00,ZRX/USD,0.27601,0.28506,0.27000,0.28505,20934.36512635,5967.340779266068
1740614400,2025-02-27 00:00:00,ZRX/USD,0.29999,0.29999,0.28929,0.28930,4458.05566601,1289.715504176693
1740528000,2025-02-26 00:00:00,ZRX/USD,0.28035,0.29182,0.28035,0.29000,25719.84606022,7458.7553574638
1740441600,2025-02-25 00:00:00,ZRX/USD,0.29109,0.29468,0.28074,0.29468,9523.20563476,2806.2982364510767
1740355200,2025-02-24 00:00:00,ZRX/USD,0.32430,0.32431,0.28995,0.28996,75553.31016327,21907.437814941768
1740268800,2025-02-23 00:00:00,ZRX/USD,0.32558,0.33000,0.32000,0.32262,8031.04211647,2590.9748076155515
1740182400,2025-02-22 00:00:00,ZRX/USD,0.31173,0.32414,0.31173,0.32217,4090.91002687,1317.968483356708
1740096000,2025-02-21 00:00:00,ZRX/USD,0.32604,0.34000,0.31221,0.31221,64772.20198234,20222.52918090637
1740009600,2025-02-20 00:00:00,ZRX/USD,0.31620,0.33000,0.31620,0.33000,4452.88391848,1469.4516930984
1739923200,2025-02-19 00:00:00,ZRX/USD,0.31300,0.31645,0.31086,0.31348,12475.64645602,3910.8656510331493
1739836800,2025-02-18 00:00:00,ZRX/USD,0.32907,0.32907,0.30000,0.30649,108812.76743450,33350.0250909999
1739750400,2025-02-17 00:00:00,ZRX/USD,0.32802,0.34829,0.32311,0.33000,45859.57172897,15133.6586705601
1739664000,2025-02-16 00:00:00,ZRX/USD,0.32362,0.33865,0.32362,0.32619,11634.38263678,3795.019272291268
1739577600,2025-02-15 00:00:00,ZRX/USD,0.32809,0.32809,0.31968,0.31968,3377.90192805,1079.847688359024
1739491200,2025-02-14 00:00:00,ZRX/USD,0.32628,0.33203,0.32573,0.32986,12004.66666666,3959.8593466644675
1739404800,2025-02-13 00:00:00,ZRX/USD,0.33270,0.33270,0.32088,0.32088,11750.91748200,3770.63440162416
1739318400,2025-02-12 00:00:00,ZRX/USD,0.31031,0.33000,0.30755,0.33000,38664.00505031,12759.121666602301
1739232000,2025-02-11 00:00:00,ZRX/USD,0.32926,0.33023,0.30946,0.31184,18497.34730291,5768.212782939454
1739145600,2025-02-10 00:00:00,ZRX/USD,0.31064,0.31615,0.30173,0.31325,23116.60710712,7241.277176305339
1739059200,2025-02-09 00:00:00,ZRX/USD,0.31256,0.31256,0.29730,0.31026,22269.08212953,6909.205421507978
1738972800,2025-02-08 00:00:00,ZRX/USD,0.29548,0.30955,0.29548,0.30955,399.04068921,123.52304534495549
1738886400,2025-02-07 00:00:00,ZRX/USD,0.30880,0.32361,0.28800,0.30358,24567.01901611,7458.055632910674
1738800000,2025-02-06 00:00:00,ZRX/USD,0.31067,0.31867,0.28800,0.28800,73010.49067738,21027.02131508544
1738713600,2025-02-05 00:00:00,ZRX/USD,0.31991,0.32401,0.30776,0.30776,69347.64523231,21342.431296695722
1738627200,2025-02-04 00:00:00,ZRX/USD,0.33202,0.33362,0.30546,0.31450,2997.79131903,942.805369834935
1738540800,2025-02-03 00:00:00,ZRX/USD,0.31001,0.34354,0.27000,0.34353,84267.76560153,28948.505517093603
1738454400,2025-02-02 00:00:00,ZRX/USD,0.37990,0.38619,0.32568,0.32568,87735.44974837,28573.681274049144
1738368000,2025-02-01 00:00:00,ZRX/USD,0.41277,0.41309,0.38837,0.38837,81775.75497784,31759.24996074372
1738281600,2025-01-31 00:00:00,ZRX/USD,0.41121,0.43162,0.41082,0.41082,1139.31129508,468.0518662447656
1738195200,2025-01-30 00:00:00,ZRX/USD,0.41578,0.42325,0.41578,0.42226,1561.00000000,659.14786
1738108800,2025-01-29 00:00:00,ZRX/USD,0.39238,0.41261,0.39200,0.41260,10292.14289783,4246.538159644658
1738022400,2025-01-28 00:00:00,ZRX/USD,0.41650,0.42091,0.39467,0.40581,111509.65375156,45251.73258892057
1737936000,2025-01-27 00:00:00,ZRX/USD,0.42811,0.43690,0.39011,0.41214,48471.85976342,19977.192282895918
1737849600,2025-01-26 00:00:00,ZRX/USD,0.44372,0.46417,0.43307,0.43307,5950.91611162,2577.1632404592738
1737763200,2025-01-25 00:00:00,ZRX/USD,0.42809,0.43942,0.42809,0.43894,283.31662285,124.35899843377899
1737676800,2025-01-24 00:00:00,ZRX/USD,0.45074,0.45075,0.44938,0.44938,1375.69432637,618.2095163841506
1737590400,2025-01-23 00:00:00,ZRX/USD,0.44028,0.44268,0.42291,0.44268,25551.23582230,11311.021073815766
1737504000,2025-01-22 00:00:00,ZRX/USD,0.47308,0.47308,0.43753,0.44253,25116.72041382,11114.902284727765
1737417600,2025-01-21 00:00:00,ZRX/USD,0.46149,0.48183,0.44822,0.48002,6684.12904023,3208.515621891205
1737331200,2025-01-20 00:00:00,ZRX/USD,0.45828,0.50739,0.44596,0.46822,4662.95360428,2183.2881365959815
1737244800,2025-01-19 00:00:00,ZRX/USD,0.49945,0.50084,0.45597,0.45597,21019.42981449,9584.229412513005
1737158400,2025-01-18 00:00:00,ZRX/USD,0.54927,0.54927,0.48698,0.50542,25495.09750329,12885.732180112831
1737072000,2025-01-17 00:00:00,ZRX/USD,0.52064,0.54629,0.51120,0.54621,9489.82052486,5183.434868883781
1736985600,2025-01-16 00:00:00,ZRX/USD,0.51432,0.51648,0.50748,0.50748,1075.35121956,545.7192369023088
1736899200,2025-01-15 00:00:00,ZRX/USD,0.48667,0.51645,0.48306,0.51645,67379.03469532,34797.90246839802
1736812800,2025-01-14 00:00:00,ZRX/USD,0.46468,0.49121,0.46468,0.48687,1187.37011077,578.09488583059
1736726400,2025-01-13 00:00:00,ZRX/USD,0.48814,0.49615,0.43000,0.47116,66629.23613217,31393.03089603322
1736640000,2025-01-12 00:00:00,ZRX/USD,0.50122,0.50122,0.48696,0.49240,16024.88383137,7890.652798566588
1736553600,2025-01-11 00:00:00,ZRX/USD,0.51824,0.51824,0.49555,0.50595,5938.79501091,3004.7333357699144
1736467200,2025-01-10 00:00:00,ZRX/USD,0.49472,0.51593,0.48653,0.51593,46378.56293201,23928.091973511917
