https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1679184000,2023-03-19 00:00:00,MATIC/USD,1.17567,1.22139,1.16161,1.16743,726109.04968981,847681.4878793749
1679097600,2023-03-18 00:00:00,MATIC/USD,1.22703,1.25209,1.16992,1.17109,920842.69535079,1078389.6720983568
1679011200,2023-03-17 00:00:00,MATIC/USD,1.15178,1.22948,1.13931,1.22614,682221.85109831,836499.5005056818
1678924800,2023-03-16 00:00:00,MATIC/USD,1.11861,1.15568,1.10326,1.15568,257114.46201121,297142.0414571152
1678838400,2023-03-15 00:00:00,MATIC/USD,1.19809,1.23087,1.07766,1.11681,700462.03993695,782283.0108219852
1678752000,2023-03-14 00:00:00,MATIC/USD,1.20096,1.24845,0.98000,1.20194,1290287.50546083,1550848.16431359
1678665600,2023-03-13 00:00:00,MATIC/USD,1.15769,1.20576,1.09685,1.18881,941253.04530491,1118971.03278893
1678579200,2023-03-12 00:00:00,MATIC/USD,1.06658,1.15918,1.04665,1.15709,798239.50592928,923634.9499157105
1678492800,2023-03-11 00:00:00,MATIC/USD,1.06056,1.09552,0.99249,1.05776,1170503.94108596,1238112.248723085
1678406400,2023-03-10 00:00:00,MATIC/USD,1.00992,1.06899,0.94350,1.06034,1627365.03438150,1725560.24055608
1678320000,2023-03-09 00:00:00,MATIC/USD,1.05312,1.09280,0.97478,1.01542,1035627.16307175,1051596.5339263163
1678233600,2023-03-08 00:00:00,MATIC/USD,1.15404,1.15652,1.03948,1.05571,468290.87066710,494379.3550719641
1678147200,2023-03-07 00:00:00,MATIC/USD,1.13098,1.16624,1.11234,1.15060,720494.64820456,829001.1422241668
1678060800,2023-03-06 00:00:00,MATIC/USD,1.13609,1.14690,1.11657,1.12968,149901.86783739,169341.14205854273
1677974400,2023-03-05 00:00:00,MATIC/USD,1.12073,1.15654,1.12073,1.13817,121243.83547427,137996.09622174987
1677888000,2023-03-04 00:00:00,MATIC/USD,1.17092,1.17322,1.09312,1.12387,265530.09536908,298421.3082824479
1677801600,2023-03-03 00:00:00,MATIC/USD,1.21958,1.21958,1.12398,1.16992,494456.54687689,578474.6033222112
1677715200,2023-03-02 00:00:00,MATIC/USD,1.24500,1.25379,1.19311,1.22360,159242.87237155,194849.57863382858
1677628800,2023-03-01 00:00:00,MATIC/USD,1.20509,1.26169,1.19196,1.24543,1032364.60501516,1285737.8500240308
1677542400,2023-02-28 00:00:00,MATIC/USD,1.23476,1.24000,1.18219,1.19709,189129.44023227,226404.9616076481
1677456000,2023-02-27 00:00:00,MATIC/USD,1.27684,1.28589,1.21842,1.23697,352552.03924925,436096.2959901448
1677369600,2023-02-26 00:00:00,MATIC/USD,1.24202,1.29947,1.24202,1.27688,249693.05806334,318828.0719799176
1677283200,2023-02-25 00:00:00,MATIC/USD,1.26832,1.27467,1.19638,1.25000,246909.08812754,308636.360159425
1677196800,2023-02-24 00:00:00,MATIC/USD,1.35710,1.35998,1.24679,1.27041,341890.53867911,434341.15924332815
1677110400,2023-02-23 00:00:00,MATIC/USD,1.38949,1.41638,1.33616,1.34177,300738.49050743,403521.8844081543
1677024000,2023-02-22 00:00:00,MATIC/USD,1.38439,1.39849,1.32200,1.39849,309069.51465417,432230.62554871023
1676937600,2023-02-21 00:00:00,MATIC/USD,1.47243,1.50034,1.36261,1.38000,568261.69241864,784201.1355377232
1676851200,2023-02-20 00:00:00,MATIC/USD,1.49094,1.50655,1.43408,1.47312,462652.78047944,681543.0639798726
1676764800,2023-02-19 00:00:00,MATIC/USD,1.48421,1.53494,1.46205,1.48003,543193.93269655,803943.3162088749
1676678400,2023-02-18 00:00:00,MATIC/USD,1.53548,1.56228,1.47555,1.48655,237123.39589152,352495.78416253906
1676592000,2023-02-17 00:00:00,MATIC/USD,1.37198,1.54623,1.37172,1.53068,940676.27228540,1439874.356461816
1676505600,2023-02-16 00:00:00,MATIC/USD,1.33037,1.46454,1.32058,1.37399,992144.51709640,1363196.6450452828
1676419200,2023-02-15 00:00:00,MATIC/USD,1.25926,1.33200,1.23408,1.33118,640287.19553543,852337.5089528537
1676332800,2023-02-14 00:00:00,MATIC/USD,1.18509,1.26033,1.16180,1.26004,733794.33748656,924610.2170065651
1676246400,2023-02-13 00:00:00,MATIC/USD,1.23458,1.24373,0.28000,1.18422,889141.35981985,1052938.9811258628
1676160000,2023-02-12 00:00:00,MATIC/USD,1.24232,1.30188,1.22445,1.23631,213542.55929079,264004.80147679657
1676073600,2023-02-11 00:00:00,MATIC/USD,1.22361,1.25666,1.21607,1.25203,109558.45641023,137170.47417930028
1675987200,2023-02-10 00:00:00,MATIC/USD,1.22814,1.30969,1.21173,1.22947,390771.77330266,480442.1721224214
1675900800,2023-02-09 00:00:00,MATIC/USD,1.30420,1.34750,1.20387,1.22680,651123.06772353,798797.7794832265
1675814400,2023-02-08 00:00:00,MATIC/USD,1.27000,1.34665,1.25520,1.30200,524810.50508761,683303.2776240682
1675728000,2023-02-07 00:00:00,MATIC/USD,1.19416,1.27064,1.19416,1.27000,230809.34774816,293127.87164016324
1675641600,2023-02-06 00:00:00,MATIC/USD,1.20467,1.23732,1.17253,1.18883,267459.76603170,317964.19365146593
1675555200,2023-02-05 00:00:00,MATIC/USD,1.25504,1.25807,1.18673,1.20423,293633.22150314,353601.9343307263
1675468800,2023-02-04 00:00:00,MATIC/USD,1.24222,1.28233,1.21569,1.24798,155004.98562846,193443.12196460553
1675382400,2023-02-03 00:00:00,MATIC/USD,1.18204,1.25305,1.16661,1.24531,524000.46460028,652543.0185713746
1675296000,2023-02-02 00:00:00,MATIC/USD,1.20329,1.25270,1.17494,1.18013,728082.86280200,859232.4288785242
1675209600,2023-02-01 00:00:00,MATIC/USD,1.11177,1.20129,1.07009,1.19401,558715.68825001,667112.1189273945
1675123200,2023-01-31 00:00:00,MATIC/USD,1.08438,1.12233,1.07919,1.11046,268762.98079121,298450.5396494071
1675036800,2023-01-30 00:00:00,MATIC/USD,1.17386,1.17818,1.06400,1.08561,531046.57388237,576509.4710724397
1674950400,2023-01-29 00:00:00,MATIC/USD,1.14910,1.20000,1.13083,1.17603,537785.94828688,632452.4087638195
1674864000,2023-01-28 00:00:00,MATIC/USD,1.15814,1.16620,1.09298,1.13614,245434.99749879,278848.5180582753
1674777600,2023-01-27 00:00:00,MATIC/USD,1.11552,1.18908,1.06587,1.15959,1145383.12086613,1328174.8131251556
1674691200,2023-01-26 00:00:00,MATIC/USD,0.99406,1.12670,0.98748,1.12352,880111.91353342,988823.337093068
1674604800,2023-01-25 00:00:00,MATIC/USD,0.95387,1.01716,0.93364,0.98902,450272.57563930,445328.58275878045
1674518400,2023-01-24 00:00:00,MATIC/USD,0.99090,1.15888,0.94753,0.95203,839909.29530613,799618.846410295
1674432000,2023-01-23 00:00:00,MATIC/USD,0.99818,1.01345,0.97088,0.99700,203819.91519150,203208.4554459255
1674345600,2023-01-22 00:00:00,MATIC/USD,0.99434,1.03104,0.97776,0.99451,346584.82214369,344682.07147012115
1674259200,2023-01-21 00:00:00,MATIC/USD,1.02600,1.04127,0.98849,0.98849,189172.83654061,186995.4571920276
1674172800,2023-01-20 00:00:00,MATIC/USD,0.94708,1.02288,0.94203,1.01789,238562.45112513,242830.33337575858
1674086400,2023-01-19 00:00:00,MATIC/USD,0.94365,0.95508,0.92000,0.95508,105315.12718802,100584.37167473414
1674000000,2023-01-18 00:00:00,MATIC/USD,0.99634,1.01614,0.92571,0.93872,561021.60768668,526642.2035676403
1673913600,2023-01-17 00:00:00,MATIC/USD,1.01400,1.03296,0.99332,0.99820,650012.69203953,648842.6691938589
1673827200,2023-01-16 00:00:00,MATIC/USD,0.98488,1.04649,0.96862,1.01778,598077.60913345,608711.4290238427
1673740800,2023-01-15 00:00:00,MATIC/USD,0.99335,0.99568,0.95550,0.98339,234575.06369512,230678.77188714407
1673654400,2023-01-14 00:00:00,MATIC/USD,0.93462,1.05192,0.93462,0.99835,1374110.92025664,1371843.6372382166
1673568000,2023-01-13 00:00:00,MATIC/USD,0.91446,0.93938,0.89637,0.93099,164766.90197680,153396.33807138103
1673481600,2023-01-12 00:00:00,MATIC/USD,0.89176,0.92161,0.85770,0.91727,618518.80368063,567348.7430521315
1673395200,2023-01-11 00:00:00,MATIC/USD,0.85569,0.90004,0.84645,0.89354,139325.46944629,124492.87996903797
1673308800,2023-01-10 00:00:00,MATIC/USD,0.84539,0.85954,0.83231,0.85954,112093.52896188,96348.87188389433
1673222400,2023-01-09 00:00:00,MATIC/USD,0.83962,0.87502,0.83687,0.84311,831214.01298146,700804.8464847987
1673136000,2023-01-08 00:00:00,MATIC/USD,0.80800,0.84299,0.79677,0.84292,194017.52713388,163541.25397169014
1673049600,2023-01-07 00:00:00,MATIC/USD,0.79937,0.81000,0.79887,0.80495,209278.81569714,168458.98269541285
1672963200,2023-01-06 00:00:00,MATIC/USD,0.78851,0.80000,0.77154,0.79872,325663.64683796,260114.0680024154
1672876800,2023-01-05 00:00:00,MATIC/USD,0.80306,0.80504,0.78476,0.78816,688499.39725901,542647.6849436613
1672790400,2023-01-04 00:00:00,MATIC/USD,0.77879,0.81429,0.77764,0.80072,395098.58510168,316363.3390626172
1672704000,2023-01-03 00:00:00,MATIC/USD,0.78045,0.78459,0.77064,0.77425,213777.82128444,165517.47812947768
1672617600,2023-01-02 00:00:00,MATIC/USD,0.75714,0.78502,0.75000,0.78075,265524.72672417,207308.43038989572
1672531200,2023-01-01 00:00:00,MATIC/USD,0.75099,0.76145,0.74927,0.76145,24989.39383897,19028.173938683707
1672444800,2022-12-31 00:00:00,MATIC/USD,0.75916,0.76981,0.75514,0.75514,255343.37077324,192819.99300570445
1672358400,2022-12-30 00:00:00,MATIC/USD,0.77622,0.77634,0.74923,0.75912,144237.18094676,109493.32880030444
